# Logfile created on 2026-03-29 21:52:15 +0200 by logger.rb/v1.6.4
2026-03-29 21:52:15 +0200: Memory Usage (369400K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /home/syndace/Projects/OpenROAD-flow-scripts/flow/results/ihp-sg13cmos5l/prjleisurecruise/base/6_final.gds
2026-03-29 21:52:15 +0200: Memory Usage (369400K) : Ruby Version for klayout: 3.4.8
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : Loading database to memory is complete.
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : IHP-SG13CMOS5L KLayout DRC runset output at: /home/syndace/Projects/OpenROAD-flow-scripts/drc_run_LeisureCruiseHarness/6_final_LeisureCruiseHarness_forbidden_cmos5l.lyrdb
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : Evaluate switches.
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : tables selected: forbidden_cmos5l
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : KLayout will use 8 thread(s) in tiled mode.
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : deep mode is enabled.
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : FEOL enabled: false
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : BEOL enabled: false
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : OFFGRID enabled: false
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : ANGLE enabled: true
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : PIN enabled: false
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : FORBIDDEN enabled: false
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : RECOMMENDED enabled: true
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : PreCheck DRC enabled: false
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : CONNECTIVITY_RULES enabled: false.
2026-03-29 21:52:16 +0200: Memory Usage (458904K) : Read in polygons from layers.
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_drw has 1345255 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_pin has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_mask has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_filler has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_nofill has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_opc has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_iopc has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : activ_noqrc has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : biwind_drw has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : biwind_opc has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : pemwind_drw has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : gatpoly_drw has 1156047 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : gatpoly_pin has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : gatpoly_filler has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : gatpoly_nofill has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : gatpoly_opc has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : gatpoly_iopc has 0 polygons
2026-03-29 21:52:16 +0200: Memory Usage (472748K) : gatpoly_noqrc has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (481964K) : cont_drw has 7660295 polygons
2026-03-29 21:52:17 +0200: Memory Usage (481964K) : cont_opc has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (481964K) : nsd_drw has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (481964K) : nsd_block has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_drw has 2301922 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_pin has 257060 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_mask has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_filler has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_nofill has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_slit has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_text has 224260 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_opc has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_noqrc has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_res has 48 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_iprobe has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : metal1_diffprb has 0 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : passiv_drw has 44 polygons
2026-03-29 21:52:17 +0200: Memory Usage (482156K) : passiv_pin has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (482156K) : passiv_sbump has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (482156K) : passiv_pillar has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (482156K) : passiv_pdl has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_drw has 1067535 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_pin has 742134 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_mask has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_filler has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_nofill has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_slit has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_text has 478838 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_opc has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_noqrc has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_res has 131136 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_iprobe has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : metal2_diffprb has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : baspoly_drw has 0 polygons
2026-03-29 21:52:18 +0200: Memory Usage (487576K) : baspoly_pin has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : psd_drw has 316903 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : nldb_drw has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : digibnd_drw has 84684 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : via1_drw has 882711 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_drw has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_pin has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_mask has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_filler has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_nofill has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_slit has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_text has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_opc has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_noqrc has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_res has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_iprobe has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backmetal1_diffprb has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : backpassiv_drw has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : res_drw has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : sram_drw has 76032 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : trans_drw has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : ind_drw has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : ind_pin has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : ind_text has 0 polygons
2026-03-29 21:52:19 +0200: Memory Usage (487576K) : salblock_drw has 20 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : via2_drw has 590378 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_drw has 452119 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_pin has 349323 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_mask has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_filler has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_nofill has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_slit has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_text has 207243 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_opc has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_noqrc has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_res has 66304 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_iprobe has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : metal3_diffprb has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : nwell_drw has 226877 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : nwell_pin has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : nbulay_drw has 0 polygons
2026-03-29 21:52:20 +0200: Memory Usage (487576K) : nbulay_pin has 0 polygons
