# Logfile created on 2026-03-30 16:02:05 +0200 by logger.rb/v1.6.4
2026-03-30 16:02:05 +0200: Memory Usage (370416K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /home/syndace/Projects/IHP__RISCV2617/release/v.1.0.0/gds/RISCV2617.gds.gz
2026-03-30 16:02:05 +0200: Memory Usage (370416K) : Ruby Version for klayout: 3.4.8
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : Loading database to memory is complete.
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : IHP-SG13CMOS5L KLayout DRC runset output at: /home/syndace/Projects/IHP__RISCV2617/drc_run_RISCV2617/RISCV2617.gds_RISCV2617_offgrid.lyrdb
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : Evaluate switches.
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : tables selected: offgrid
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : KLayout will use 12 thread(s) in tiled mode.
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : deep mode is enabled.
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : FEOL enabled: false
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : BEOL enabled: false
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : OFFGRID enabled: true
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : ANGLE enabled: true
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : PIN enabled: false
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : FORBIDDEN enabled: false
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : RECOMMENDED enabled: true
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : PreCheck DRC enabled: false
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : CONNECTIVITY_RULES enabled: false.
2026-03-30 16:02:06 +0200: Memory Usage (462716K) : Read in polygons from layers.
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_drw has 1345255 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_pin has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_mask has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_filler has 37143 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_nofill has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_opc has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_iopc has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : activ_noqrc has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : biwind_drw has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : biwind_opc has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : pemwind_drw has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : gatpoly_drw has 1156047 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : gatpoly_pin has 0 polygons
2026-03-30 16:02:07 +0200: Memory Usage (476940K) : gatpoly_filler has 37143 polygons
2026-03-30 16:02:08 +0200: Memory Usage (476940K) : gatpoly_nofill has 0 polygons
2026-03-30 16:02:08 +0200: Memory Usage (476940K) : gatpoly_opc has 0 polygons
2026-03-30 16:02:08 +0200: Memory Usage (476940K) : gatpoly_iopc has 0 polygons
2026-03-30 16:02:08 +0200: Memory Usage (476940K) : gatpoly_noqrc has 0 polygons
2026-03-30 16:02:09 +0200: Memory Usage (485964K) : cont_drw has 7660295 polygons
2026-03-30 16:02:09 +0200: Memory Usage (485964K) : cont_opc has 0 polygons
2026-03-30 16:02:09 +0200: Memory Usage (485964K) : nsd_drw has 0 polygons
2026-03-30 16:02:09 +0200: Memory Usage (485964K) : nsd_block has 0 polygons
2026-03-30 16:02:09 +0200: Memory Usage (486156K) : metal1_drw has 2301922 polygons
2026-03-30 16:02:09 +0200: Memory Usage (486156K) : metal1_pin has 257060 polygons
2026-03-30 16:02:09 +0200: Memory Usage (486156K) : metal1_mask has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_filler has 52221 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_nofill has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_slit has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_text has 224260 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_opc has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_noqrc has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_res has 48 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_iprobe has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : metal1_diffprb has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : passiv_drw has 44 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : passiv_pin has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : passiv_sbump has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : passiv_pillar has 0 polygons
2026-03-30 16:02:10 +0200: Memory Usage (486156K) : passiv_pdl has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_drw has 1067535 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_pin has 742134 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_mask has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_filler has 85891 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_nofill has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_slit has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_text has 478838 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_opc has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_noqrc has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_res has 131136 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_iprobe has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : metal2_diffprb has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : baspoly_drw has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : baspoly_pin has 0 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : psd_drw has 316903 polygons
2026-03-30 16:02:11 +0200: Memory Usage (491148K) : nldb_drw has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : digibnd_drw has 84684 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : via1_drw has 882711 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_drw has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_pin has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_mask has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_filler has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_nofill has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_slit has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_text has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_opc has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_noqrc has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_res has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_iprobe has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backmetal1_diffprb has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : backpassiv_drw has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : res_drw has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : sram_drw has 76032 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : trans_drw has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : ind_drw has 0 polygons
2026-03-30 16:02:12 +0200: Memory Usage (491148K) : ind_pin has 0 polygons
2026-03-30 16:02:13 +0200: Memory Usage (491148K) : ind_text has 0 polygons
2026-03-30 16:02:13 +0200: Memory Usage (491148K) : salblock_drw has 20 polygons
2026-03-30 16:02:13 +0200: Memory Usage (491148K) : via2_drw has 590378 polygons
2026-03-30 16:02:13 +0200: Memory Usage (491148K) : metal3_drw has 452163 polygons
2026-03-30 16:02:13 +0200: Memory Usage (491148K) : metal3_pin has 349323 polygons
2026-03-30 16:02:13 +0200: Memory Usage (491148K) : metal3_mask has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_filler has 40624 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_nofill has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_slit has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_text has 207243 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_opc has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_noqrc has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_res has 66304 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_iprobe has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : metal3_diffprb has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : nwell_drw has 226877 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : nwell_pin has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : nbulay_drw has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : nbulay_pin has 0 polygons
2026-03-30 16:02:14 +0200: Memory Usage (491148K) : nbulay_block has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : emwind_drw has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : emwind_opc has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : deepco_drw has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : deepco_drw has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : mim_drw has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : edgeseal_drw has 24 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : edgeseal_bound has 1 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : substrate_drw has 966 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : substrate_text has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : dfpad_drw has 32 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : dfpad_pillar has 0 polygons
2026-03-30 16:02:15 +0200: Memory Usage (491148K) : dfpad_sbump has 0 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : thickgateox_drw has 64 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : pldb_drw has 0 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : pwell_drw has 0 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : pwell_pin has 0 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : pwell_block has 0 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : ic_drw has 0 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : via3_drw has 443767 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : metal4_drw has 46010 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : metal4_pin has 1494 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : metal4_mask has 0 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : metal4_filler has 56752 polygons
2026-03-30 16:02:16 +0200: Memory Usage (491148K) : metal4_nofill has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : metal4_slit has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : metal4_text has 1409 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : metal4_opc has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : metal4_noqrc has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : metal4_res has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : metal4_iprobe has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : metal4_diffprb has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : heattrans_drw has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : heatres_drw has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : pempoly_drw has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : fbe_drw has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : empoly_drw has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : ldmos_drw has 0 polygons
2026-03-30 16:02:17 +0200: Memory Usage (491148K) : pbiwind_drw has 0 polygons
